ID,price
845,2308565.2816952188
1924,966365.6319505211
10718,1071835.7658565054
12076,8435995.714625958
12254,1846097.8362841827
9950,2947393.793808111
1548,2509737.7891377425
526,1213350.2168909812
6776,994500.1038826664
1851,1337901.9828775707
9188,1815458.8249311931
3382,3055634.9837778555
242,2503345.4148258064
6439,1830051.5897229158
1561,2595405.2520865113
5339,2465333.69735347
7387,2523110.9643045915
11576,1893947.7908373824
5984,4870944.080765514
4486,1728582.2039183765
2205,930781.0266654561
3468,1323552.8268086049
4226,2312423.045378839
2088,2316985.5798688387
2118,2844789.5842700973
8036,1544099.606597369
23,1232751.1939235486
1898,2062923.7358977033
6976,2520111.4906882606
1465,3250947.1461631763
2040,1455921.7355785053
482,1158074.1190265927
5122,1905237.4551798073
3447,1221904.5896683317
12877,2500903.3732457175
3780,1445556.9325552685
1285,1799749.0775795516
9200,2019580.3106278325
921,3485573.193851309
3060,2782612.247459392
1082,1109319.955898243
71,2062556.886930879
4464,1520942.5461165383
4576,3619845.187428722
897,2975848.694624278
1756,969160.6654595607
8745,2372592.5021179733
806,1465477.4757933447
803,1462342.6787765948
7613,1490311.1750030327
243,1299571.0889998619
8135,1345338.2161446395
1527,2136305.6112306355
2825,1176183.1149266455
666,1105271.8889261773
12028,1345807.6174990349
2308,2046137.5129482518
11223,1434317.0854070594
1479,880158.7599453302
2057,2306308.2643561563
2368,1211924.9998972577
7638,2687173.5245728386
432,2263317.3405301613
9800,1249793.889971172
2140,3260288.810406113
837,1995505.0153360143
3227,1933424.5304753128
12412,2048590.0473725814
10267,1242518.7162472834
3850,3247943.981936767
382,4347293.1717802435
1280,2387541.846382457
2226,4658454.1757012475
4166,3100238.636529547
5208,2937264.3654837823
4513,1691793.7648234512
10814,3092421.9629103323
3120,2847407.334439011
7915,1890725.296276445
3513,2265174.2942209844
9041,1377174.2920573736
561,1309573.4339687037
11041,2879232.016600815
2920,2725399.5279833665
2042,1086216.3821456796
10220,1862808.2532087152
11511,1744189.7602341971
8424,2959658.816515926
